longitude,latitude,median_house_value,population
-122.24,37.76,240900,827
-122.23,37.76,306300,658
-122.23,37.75,240000,654
-122.24,37.75,247100,384
-122.24,37.75,286600,1499
-122.24,37.76,266700,1128
-122.24,37.76,229800,1110
-122.24,37.76,229300,1119
-122.24,37.73,228400,2930
-122.25,37.74,206200,897
-122.24,37.72,350700,7427
-122.27,37.73,231000,2973
-122.25,37.76,252900,1340
-122.27,37.74,353900,2974
-122.27,37.77,291700,2690
-122.28,37.75,100000,583
-122.06,37.77,341600,5781
-122.06,37.73,412500,1738
-122.06,37.71,248600,1478
-122.07,37.71,254900,746
-122.07,37.71,241500,1235
-122.07,37.72,295200,1411
-122.08,37.72,340400,1368
-122.08,37.72,274700,1048
-122.08,37.71,238600,1004
-122.09,37.71,266400,1086
-122.1,37.72,330200,922
-122.11,37.71,206800,1950
-122.1,37.7,209200,1413
-122.1,37.69,195800,1444
-122.09,37.71,253500,749
-122.09,37.7,241800,867
-122.1,37.71,252500,2723
-122.09,37.7,263900,731
-122.08,37.71,227000,781
-122.08,37.71,220900,1784
-122.08,37.7,259300,1156
-122.07,37.7,232500,645
-122.06,37.7,231600,821
-122.06,37.7,209400,1912
-122.07,37.7,223200,1487
-122.08,37.7,209900,1645
-122.09,37.7,208200,2239
-122.07,37.69,203800,1021
-122.08,37.69,195700,1105
-122.07,37.69,190500,2999
-122.08,37.69,181000,740
-122.08,37.69,184900,629
-122.08,37.68,190800,314
-122.08,37.68,242200,1479
-122.09,37.69,188300,1732
-122.15,37.74,183500,1338
-122.14,37.74,204200,440
-122.14,37.73,251900,922
-122.15,37.74,187500,611
-122.16,37.73,198200,994
-122.15,37.74,219000,545
-122.15,37.73,275000,317
-122.15,37.73,245400,1573
-122.17,37.73,177500,925
-122.16,37.73,171600,768
-122.17,37.73,183300,620
-122.16,37.73,175000,425
-122.18,37.72,156700,1003
-122.18,37.71,157500,519
-122.17,37.71,179800,481
-122.18,37.7,205500,1209
-122.18,37.7,178900,1398
-122.19,37.71,262500,158
-122.17,37.72,165000,1817
-122.17,37.72,159700,766
-122.17,37.72,158300,814
-122.16,37.72,144800,618
-122.17,37.72,166300,2139
-122.16,37.71,191000,632
-122.16,37.71,175000,366
-122.16,37.72,137500,877
-122.15,37.73,141700,830
-122.15,37.72,210900,739
-122.15,37.72,198300,540
-122.15,37.72,157400,2024
-122.14,37.73,264700,823
-122.14,37.73,218400,711
-122.14,37.73,235100,931
-122.13,37.73,341800,686
-122.13,37.72,367300,1030
-122.13,37.72,243500,976
-122.12,37.71,167900,552
-122.13,37.72,371200,340
-122.14,37.72,218900,288
-122.14,37.72,202700,555
-122.13,37.72,186200,1006
-122.13,37.71,188900,776
-122.13,37.71,180000,609
-122.15,37.71,202700,2441
-122.14,37.71,181700,1364
-122.14,37.71,166800,2197
-122.13,37.7,183700,1333
-122.13,37.7,218000,1810
-122.15,37.71,191500,531
-122.15,37.7,194700,672
-122.14,37.7,187200,695
-122.13,37.7,223100,2162
-122.13,37.69,271300,1216
-122.14,37.7,194100,606
-122.16,37.7,190400,1203
-122.14,37.69,189100,874
-122.15,37.69,184600,637
-122.15,37.69,197300,703
-122.15,37.7,192600,733
-122.16,37.69,192200,625
-122.16,37.7,194600,568
-122.16,37.7,193500,836
-122.17,37.7,202600,952
-122.16,37.68,83300,568
-122.17,37.69,212600,1125
-122.18,37.68,187800,840
-122.16,37.69,205700,796
-122.15,37.69,192900,863
-122.15,37.68,205200,1349
-122.15,37.68,213400,929
-122.15,37.69,183600,957
-122.14,37.69,178400,1093
-122.14,37.68,219200,1489
-122.14,37.68,183100,1561
-122.1,37.69,157100,1256
-122.12,37.69,157800,695
-122.13,37.69,161700,560
-122.12,37.71,152100,632
-122.12,37.7,144900,1849
-122.12,37.7,179900,1287
-122.12,37.69,179100,1580
-122.12,37.7,159900,1571
-122.11,37.7,161400,828
-122.11,37.7,170400,835
-122.11,37.7,137500,1765
-122.1,37.69,178400,387
-122.11,37.69,155200,1562
-122.11,37.69,160900,768
-122.12,37.69,167300,1140
-122.03,37.69,340000,83
-121.97,37.64,431000,485
-122.02,37.63,301100,1189
-122.04,37.63,241900,586
-122.05,37.63,162500,2240
-122.04,37.66,299200,867
-122.04,37.65,315500,3827
-122.05,37.68,216800,3827
-122.07,37.68,218100,1280
-122.06,37.68,170300,2667
-122.08,37.68,275000,253
-122.08,37.68,184100,1401
-122.08,37.67,160000,233
-122.09,37.67,175000,673
-122.09,37.68,197500,704
-122.09,37.69,150000,273
-122.09,37.68,205600,1120
-122.09,37.68,170300,1105
-122.09,37.68,190900,569
-122.1,37.68,196900,691
-122.1,37.68,174000,1109
-122.11,37.68,170200,1197
-122.1,37.68,180900,1061
-122.1,37.67,150500,2479
-122.1,37.68,167100,1162
-122.12,37.68,148900,1146
-122.12,37.68,196400,724
-122.12,37.68,191100,975
-122.11,37.67,187500,952
-122.12,37.68,180600,1159
-122.13,37.68,182800,1129
-122.13,37.68,179300,1175
-122.13,37.68,179400,924
-122.14,37.68,210300,1424
-122.14,37.67,192300,1366
-122.15,37.67,198100,1171
-122.14,37.67,196200,641
-122.13,37.67,181600,880
-122.14,37.67,186900,1635
-122.14,37.67,188300,1495
-122.13,37.67,184000,914
-122.12,37.67,184700,1798
-122.13,37.67,179900,1625
-122.11,37.67,167200,599
-122.11,37.67,165400,2037
-122.09,37.67,154000,1854
-122.09,37.67,153500,1408
-122.09,37.66,135400,766
-122.09,37.66,158300,725
-122.05,37.68,240700,1019
-122.06,37.67,180700,1830
-122.07,37.67,230600,1469
-122.07,37.67,210800,1198
-122.07,37.67,165300,1039
-122.04,37.67,254200,690
-122.04,37.67,332600,1155
-122.04,37.66,350000,1066
-122.07,37.66,161200,1255
-122.07,37.66,179300,2461
-122.08,37.66,154300,1063
-122.07,37.65,161800,2181
-122.08,37.65,161900,3069
-122.08,37.65,165400,1093
-122.08,37.66,166600,1349
-122.1,37.66,149700,599
-122.1,37.66,162100,480
-122.1,37.66,152600,1293
-122.09,37.65,195200,1414
-122.09,37.65,190600,543
-122.09,37.65,193800,572
-122.1,37.66,200600,342
-122.11,37.66,150000,2332
-122.1,37.66,185300,768
-122.11,37.66,172700,913
-122.11,37.66,174100,1726
-122.1,37.65,194400,1185
-122.1,37.64,206700,735
-122.1,37.65,204500,796
-122.1,37.65,175000,252
-122.12,37.65,137500,86
-122.1,37.63,187200,5613
-122.1,37.61,173600,1727
-122.13,37.66,163000,407
-122.11,37.65,331600,2041
-122.11,37.64,197600,854
-122.11,37.64,197900,1907
-122.12,37.64,228100,264
-122.09,37.63,189500,735
-122.09,37.64,184200,836
-122.1,37.63,180900,1377
-122.08,37.64,172000,789
-122.08,37.64,177900,662
-122.09,37.64,173100,853
-122.09,37.64,172600,664
-122.08,37.64,182100,4065
-122.08,37.64,179500,1109
-122.08,37.63,176000,548
-122.08,37.63,192600,431
-122.08,37.64,182700,463
-122.07,37.64,134900,5436
-122.07,37.63,157600,2028
-122.07,37.64,190900,2426
-122.06,37.64,158200,1038
-122.06,37.64,350000,857
-122.06,37.65,158200,848
-122.06,37.64,146100,729
-122.04,37.63,226700,369
-122.03,37.62,198700,1001
-122.03,37.62,221200,1472
-122.04,37.62,208500,453
-122.04,37.62,204200,328
-122.04,37.62,193200,793
-122.03,37.62,209500,632
-122.03,37.61,164900,1002
-122.03,37.61,161400,808
-122.04,37.61,187000,727
-122.04,37.62,190400,455
-122.08,37.63,156600,1534
-122.08,37.62,157300,1139
-122.07,37.63,168100,1175
-122.07,37.63,177600,1401
-122.06,37.63,208900,3388
-122.06,37.63,169200,841
-122.05,37.61,163900,705
-122.08,37.63,164700,1148
-122.08,37.63,156900,391
-122.09,37.63,168800,992
-122.09,37.63,174100,790
-122.08,37.62,206500,1016
-122.08,37.61,203900,1039
-121.99,37.61,217000,2341
-122.02,37.6,159600,1382
-122.02,37.6,159800,1858
-122.02,37.6,154300,1156
-122.02,37.6,149600,1097
-122.03,37.61,188600,831
-122.04,37.6,238500,1873
-122.06,37.6,235300,1640
-122.08,37.61,261400,1568
-122.06,37.6,234400,3174
-122.06,37.6,231700,1186
-122.08,37.59,156300,1367
-122.07,37.59,222000,1680
-122.08,37.58,254400,1657
-122.07,37.58,244300,1033
-122.07,37.58,247000,1117
-122.08,37.58,236500,2003
-122.07,37.59,151400,2568
-122.07,37.58,213700,1461
-122.04,37.59,243600,1116
-122.05,37.59,212500,3163
-122.03,37.6,214700,1488
-122.02,37.59,213200,855
-122.03,37.59,256000,2530
-122.01,37.59,237500,240
-122.02,37.58,178100,2097
-122.01,37.58,231800,2629
-122.09,37.6,147900,295
-122.08,37.6,191700,2056
-121.97,37.57,247600,2172
-121.96,37.58,283500,1777
-121.98,37.58,216900,2079
-121.99,37.58,282500,1276
-122.0,37.58,295600,2071
-122.01,37.57,281800,8117
-122.04,37.58,269800,8012
-122.04,37.57,231200,3436
-122.07,37.57,318300,5019
-122.06,37.58,253400,4576
-122.05,37.57,278200,6075
-121.93,37.49,300000,648
-122.07,37.52,273500,7205
-122.02,37.56,223400,2461
-122.02,37.56,214500,914
-122.03,37.56,220200,2841
-122.03,37.56,240300,4446
-122.01,37.56,158000,1531
-122.01,37.55,224200,1434
-122.02,37.55,177200,909
-122.01,37.56,216100,1174
-121.99,37.56,269700,2641
-121.99,37.56,231200,3288
-121.96,37.55,162500,1606
-121.97,37.56,254000,4518
-121.97,37.54,196200,986
-121.97,37.55,189400,3080
-121.98,37.54,220800,3386
-121.99,37.55,213800,4649
-121.94,37.56,442900,2412
-121.95,37.55,333400,4552
-121.93,37.54,352400,596
-121.94,37.54,305300,1631
-121.94,37.53,259600,941
-121.95,37.54,248900,1724
-121.94,37.54,356000,1067
-121.96,37.54,236000,2738
-121.96,37.53,218800,1278
-121.96,37.53,228000,1538
-121.96,37.53,235900,1252
-121.97,37.54,203200,1344
-121.97,37.53,197000,1353
-121.97,37.53,236400,1273
-121.98,37.53,223200,1610
-121.98,37.53,222700,2142
-121.99,37.54,225000,1285
-121.99,37.54,240100,1673
-121.99,37.54,227900,1772
-121.99,37.55,268600,1106
-122.0,37.54,275100,2023
-122.01,37.55,256300,1276
-122.0,37.55,332400,3026
-122.01,37.54,287600,1128
-122.0,37.54,298900,852
-122.01,37.53,287600,889
-121.99,37.53,222200,2831
-121.97,37.52,232600,1776
-121.97,37.51,258300,1671
-121.97,37.52,230900,2530
-121.95,37.52,196900,2721
-121.96,37.51,223500,3215
-121.96,37.52,223900,2352
-121.93,37.53,243500,2855
-121.92,37.53,451100,12203
-121.89,37.49,500001,1981
-121.92,37.49,193100,3571
-121.92,37.48,264400,1972
-121.92,37.47,246900,1105
-121.91,37.47,337300,2759
-122.03,37.55,284800,4319
-122.03,37.55,217300,1597
-122.04,37.55,291700,1446
-122.04,37.54,223800,1285
-122.05,37.54,223100,2568
-122.05,37.55,211300,2357
-122.04,37.53,218500,2998
-122.04,37.5,156300,307
-122.06,37.54,248200,3526
-122.03,37.54,186000,1213
-122.03,37.54,178200,1911
-122.04,37.53,190400,1524
-122.02,37.54,210300,719
-122.03,37.54,208000,3038
-122.03,37.53,183300,1268
-122.01,37.53,245700,2346
-122.02,37.53,242200,2216
-122.0,37.51,181700,3223
-121.92,37.72,299400,2937
-121.92,37.72,219500,2302
-121.91,37.71,231800,2038
-121.93,37.72,221300,1935
-121.93,37.72,213800,1453
-121.93,37.71,206000,2288
-121.94,37.71,271100,2484
-121.96,37.71,336500,3386
-121.92,37.64,315600,512
-121.93,37.66,500001,1081
-121.92,37.69,285400,1590
-121.9,37.66,323000,3126
-121.92,37.68,291900,706
-121.93,37.7,225600,793
-121.91,37.69,259600,926
-121.91,37.68,262900,831
-121.91,37.68,257300,1700
-121.91,37.69,259200,1395
